Struttura;Categoria;Comune;Prov.;Regione;Indirizzo;Telefono;Email;Sito web;Priorita commerciale;Note
Hotel Santacroce Meeting;4*;Sulmona;AQ;Abruzzo;Sulmona;;;hotelsantacrocemeeting.com;Media;Business hotel - stesso gruppo
Hotel Santacroce Ovidius;4*;Sulmona;AQ;Abruzzo;Via Circonvallazione Occidentale 177;+39 0864 53824;ovidius@hotelsantacroce.com;hotelsantacroceovidius.com;Media;Gruppo Santacroce Hotels
Hotel del Conte;4*;Fondi;LT;Lazio;Via Appia lato Roma km 119 n.134;;info@hoteldelconte.it;hoteldelconte.it;Media;
Bajamar Beach Hotel;4*;Formia;LT;Lazio;Lungomare Citta di Ferrara 9/15;+39 0771 061919;info@bajamarhotel.it;bajamarhotel.it;Media;Fronte spiaggia
Grande Albergo Miramare;4*;Formia;LT;Lazio;Via Appia lato Napoli 44;;;;Media;Fronte spiaggia - 2 ristoranti
Kora Park Resort;4*;Formia;LT;Lazio;Formia;+39 0771 723681;info@korapark.it;korapark.it;Alta;Resort sul mare
Grand Hotel Le Rocce;4*;Gaeta;LT;Lazio;Via Flacca km 23,300;+39 0771 740985;;lerocce.com;Alta;Resort con spiaggia privata
Hotel Serapo;3*;Gaeta;LT;Lazio;Via Firenze 11 - Spiaggia di Serapo;+39 0771 450037;info@hotelserapo.com;hotelserapo.com;Bassa;
Villa Irlanda Grand Hotel;4*;Gaeta;LT;Lazio;Lungomare Caboto 6;+39 0771 712581;villairlanda@villairlanda.com;villairlanda.it;Media;
Foro Appio Mansio Hotel;4*;Latina;LT;Lazio;Via Appia km 72,800;+39 327 6707336;info@foroappiohotel.it;foroappiohotel.it;Alta;SPA ristorante e sala meeting
Hotel Europa;4*;Latina;LT;Lazio;Via Emanuele Filiberto 14;+39 0773 407199;info@hoteleuropalatina.it;hoteleuropalatina.com;Alta;Unico 4 stelle nel centro di Latina - SPA e centro congressi
Grand Hotel Santa Domitilla;4*;Ponza;LT;Lazio;Via Panoramica;+39 0771 809951;info@santadomitilla.com;santadomitilla.com;Media;
Hotel Chiaia di Luna;4*;Ponza;LT;Lazio;Via Chiaia di Luna;+39 0771 809954;info@hotelchiaiadiluna.com;hotelchiaiadiluna.com;Media;
Best Western Plus Hotel Sabaudia;4*;Sabaudia;LT;Lazio;Viale 4 Stagioni 4;+39 0773 1785800;;sabaudiahotel.com;Alta;Hotel & Spa
Hotel Oasi di Kufra;4*;Sabaudia;LT;Lazio;Strada Lungomare Pontino 8852;+39 0773 5191;hotelkufra@oasidikufra.it;oasidikufra.it;Media;Due strutture: Kufra Sea e Kufra Lake - eventi@oasidikufra.it
Circeo Park Hotel;4*;San Felice Circeo;LT;Lazio;Via Lungomare 49;+39 0773 548814;info@circeopark.it;circeopark.it;Media;Spiaggia privata e piscine
Hotel Capo Circeo;4*;San Felice Circeo;LT;Lazio;Viale Europa 9;+39 0773 540403;;hotelcapocirceo.it;Media;
Hotel Fiordaliso;4*;San Felice Circeo;LT;Lazio;San Felice Circeo;;;;Media;
Hotel Maga Circe;4*;San Felice Circeo;LT;Lazio;Via A. Bergamini 7;+39 0773 547821;;hotelmagacirce.it;Media;
Hotel Punta Rossa;4*;San Felice Circeo;LT;Lazio;Via delle Batterie 37 - Quarto Caldo;+39 0773 548085;info@puntarossa.it;puntarossa.it;Media;Struttura di alta gamma sul mare
Hotel Ganimede;4*;Sperlonga;LT;Lazio;Via Ulisse 275/323;+39 0771 557096;info@hotelganimede.it;hotelganimede.it;Media;Piscina e lido privato
Virgilio Grand Hotel;4*;Sperlonga;LT;Lazio;Via Giuseppe Romita 262;+39 0771 557600;info@virgiliograndhotel.it;virgiliograndhotel.it;Alta;72 camere
Albergo Mediterraneo;4*;Terracina;LT;Lazio;Via Veneto 2;+39 0773 733001;info@albergo-mediterraneo.it;albergo-mediterraneo.it;Media;
Grand Hotel L'Approdo;4*;Terracina;LT;Lazio;Via della Batteria snc;+39 0773 721647;info@approdograndhotel.it;approdograndhotel.it;Media;
Hotel Torre del Sole;4*;Terracina;LT;Lazio;Via Pontina km 106,500;+39 0773 764076;info@torredelsole.com;torredelsole.com;Media;114 unita abitative - fronte spiaggia
Hotel Citta dei Papi;4*;Anagni;FR;Lazio;Anagni;;;cittadeipapi.it;Media;Uscita casello Anagni-Fiuggi
Hotel Colaiaco;4*;Anagni;FR;Lazio;Via Anticolana 5;+39 0775 1888650;;hotelcolaiaco.it;Media;Best Western - fronte autostrada
Hotel Il Cavalier d'Arpino;4*;Arpino;FR;Lazio;Arpino - strada Ferentino Sora;+39 0776 849348;info@cavalierdarpino.it;cavalierdarpino.it;Media;
Best Western Hotel Rocca;4*;Cassino;FR;Lazio;Via Sferracavalli 105;+39 0776 311212;rocca.fr@bestwestern.it;hotelrocca.it;Media;
Edra Palace Hotel;4*;Cassino;FR;Lazio;Via Ausonia angolo Via Cerro snc;+39 0776 373010;info@edrapalacehotel.it;edrapalacehotel.it;Alta;Ristorante piscina e sale meeting
Hotel al Boschetto;3*;Cassino;FR;Lazio;Via Ausonia 54;+39 0776 39131;;;Bassa;
Ambasciatori Place Hotel;4*;Fiuggi;FR;Lazio;Via dei Villini 8;+39 0775 514351;info@ambasciatoriplacehotel.com;ambasciatoriplacehotel.com;Media;Vacanze benessere
Atlantic Park Hotel;4*;Fiuggi;FR;Lazio;Via Prenestina Sud 37;+39 0775 514065;info@atlanticparkhotel.it;atlanticparkhotel.it;Alta;Ristorante SPA e centro congressi
Grand Hotel Palazzo della Fonte;5*;Fiuggi;FR;Lazio;Via dei Villini 7;+39 0775 5081;;palazzodellafonte.com;Alta;Storico 5 stelle con SPA e centro congressi
Hotel Fiuggi Terme Resort & Spa;4*;Fiuggi;FR;Lazio;Via Capo i Prati 9;+39 0775 515212;;hotelfiuggiterme.it;Media;Parco di due ettari
Hotel San Giorgio & Heaven Spa;4*;Fiuggi;FR;Lazio;Via Prenestina 31;;;heavenspa.it;Media;
Hotel delle Terme & SPA;4*;Fiuggi;FR;Lazio;Via dei Villini 57;+39 0775 515067;info@hoteldelletermefiuggi.it;hoteldelletermefiuggi.it;Media;Tra le fonti Anticolana e Bonifacio VIII
Silva Hotel Splendid;4*;Fiuggi;FR;Lazio;Corso Nuova Italia 40;+39 0775 515791;silvasplendid@silvasplendid.it;silvasplendid.it;Media;Centro benessere e piscine termali
Astor Hotel;3*;Frosinone;FR;Lazio;Frosinone - uscita A1;;;astorhotelfrosinone.it;Bassa;54 camere - hotel e ristorante
Hotel Memmina;3*;Frosinone;FR;Lazio;Via Maria 172;+39 0775 873548;;;Bassa;Hotel residence con sale meeting
